agency,focus,platforms,references,conditions,followers,status,notes
Studio71,"Gaming, Entertainment","YouTube Gaming, YouTube Entertainment, Instagram, TikTok, Twitch","PietSmiet, Gronkh, MontanaBlack, Trymacs, HandOfBlood","Brand Deals, Merchandise, Events, Gaming Content",25000000,active,"Führende Agentur für Gaming und Entertainment, stark im DACH-Raum"
Influencer Marketing Factory,"Beauty, Lifestyle","Instagram Beauty, Instagram Lifestyle, YouTube Beauty, TikTok Beauty, TikTok Lifestyle","Carolin Kebekus, Pamela Reif, Louisa Dellert, Diana zur Löwen","Beauty Content, Fitness Content, Brand Deals",28000000,active,"Spezialisiert auf Beauty und Lifestyle, internationale Ausrichtung"
Pulse Advertising,"Gaming, Tech","YouTube Gaming, YouTube Tech, Instagram, TikTok, Twitch","HandOfBlood, Trymacs, MontanaBlack, Gronkh, PietSmiet","Brand Deals, Gaming Content, Events",15000000,active,"Fokus auf Gaming und Tech, starke Präsenz in Deutschland"
Talenthouse,"Fashion, Beauty","Instagram Fashion, Instagram Beauty, YouTube Fashion, TikTok Fashion, TikTok Beauty","Carolin Kebekus, Pamela Reif, Louisa Dellert, Diana zur Löwen","Beauty Content, Fashion Content, Brand Deals",20000000,active,"Spezialisiert auf Beauty und Fashion, internationale Agentur"
United Creators,"Gaming, Entertainment","YouTube Gaming, YouTube Entertainment, Instagram, TikTok, Twitch","PietSmiet, Gronkh, MontanaBlack, Trymacs, HandOfBlood","Brand Deals, Gaming Content, Events",18000000,active,"Fokus auf Gaming und Entertainment, stark im DACH-Raum"
InfluencerDB,"Lifestyle, Beauty","Instagram Lifestyle, Instagram Beauty, YouTube Lifestyle, TikTok Lifestyle, TikTok Beauty","Carolin Kebekus, Pamela Reif, Louisa Dellert, Diana zur Löwen","Beauty Content, Lifestyle Content, Brand Deals",22000000,active,"Spezialisiert auf Beauty und Lifestyle, internationale Agentur"
LunyOne,"Gaming, Entertainment","TikTok, Twitch, YouTube Gaming, Instagram","Verschiedene Gaming und Entertainment Creator","Brand Deals, Live Events, Gaming Content",20000000,active,"Deutsche Agentur mit starkem Fokus auf DACH-Raum, offizieller TikTok Live Partner"
Spiel & Drang,"Gaming, Esports","Twitch, YouTube Gaming, Instagram, TikTok","Verschiedene Esports Teams und Gaming Creator","Esports Events, Gaming Content, Brand Deals",12000000,active,"Spezialisierte Esports- und Games-Marketing-Agentur im DACH-Raum"
Dexport,"Influencer Marketing","Instagram, TikTok, YouTube, Facebook","Verschiedene DACH Creator","Brand Deals, Content Creation, Campaign Management",15000000,active,"Influencer-Marketing-Dienstleistungen für DACH-Raum"
desyre Agency,"Social Media, Influencer","Instagram, TikTok, YouTube, Facebook","Verschiedene DACH Creator","Social Media Marketing, Influencer Management",10000000,active,"Social Media Marketing Agentur für DACH-Raum und Mallorca"
SheX Agency,"Adult Content, OnlyFans","OnlyFans, Instagram, Twitter","Verschiedene OnlyFans Creator","Content Management, Brand Deals",8000000,active,"Führende Agentur für OnlyFans-Creator im DACH-Raum"
Kingfluencers,"Influencer Marketing","Instagram, TikTok, YouTube, Facebook","Über 3000 geprüfte Creator","Brand Deals, Campaign Management",30000000,active,"Führende Schweizer Agentur mit DACH-weiter Ausrichtung"
We Are Social,"Social Media, Gaming","Instagram, TikTok, YouTube, Twitch, Facebook","Verschiedene Gaming und Entertainment Creator","Full-Service Social Media, Gaming Marketing",25000000,active,"Globale Agentur mit Büros in Berlin und München"
Likeyaa,"Fashion, Lifestyle, Tech","Instagram, TikTok, YouTube, Facebook","Verschiedene Fashion und Lifestyle Creator","Fashion Marketing, E-Commerce, B2B/B2C",18000000,active,"Datengetriebene Agentur aus Dortmund"
Fairplay Management,"Gaming, Twitch","Twitch, YouTube Gaming, Instagram","Verschiedene Twitch Streamer","Twitch Marketing, Streamer Management",12000000,active,"Eine der ersten deutschen Twitch-Marketing-Agenturen"
Ciberdime,"Gaming, Cosplay","Twitch, YouTube, Instagram, TikTok","Verschiedene Gaming Creator und Cosplayer","Gaming Marketing, Cosplay Events",10000000,active,"Spezialisiert auf Gaming und Cosplay"
Glowstaff,"Influencer Marketing","Instagram, TikTok, YouTube","Verschiedene DACH Creator","Kampagnenentwicklung, Influencer Marketing",15000000,active,"Full-Service Influencer-Agentur aus Köln"
lookfamed,"Influencer Marketing","Instagram, TikTok, YouTube, Twitch","Verschiedene DACH Creator","Authentische Kooperationen, Brand Deals",12000000,active,"Agentur für authentische Influencer-Kooperationen"
ALPHA POOL,"Tech, Gaming, Lifestyle","Instagram, TikTok, YouTube, Twitch","Verschiedene Tech und Gaming Creator","Tech Marketing, Gaming Content",10000000,active,"Berliner Agentur für Tech und Gaming"
Das Kartell,"Influencer Marketing","Instagram, TikTok, YouTube","Verschiedene DACH Creator","Influencer Marketing, Brand Deals",8000000,active,"Berliner Influencer-Marketing-Agentur"
BUZZINTALENTS,"Influencer Marketing","Instagram, TikTok, YouTube","Verschiedene DACH Creator","Influencer Marketing, Brand Deals",15000000,active,"Top-Influencer-Agentur in Deutschland"
Schach zu Dritt,"Influencer Marketing","Instagram, TikTok, YouTube","Verschiedene DACH Creator","Influencer Marketing, Brand Deals",10000000,active,"Bekannte Influencer-Marketing-Agentur"
MYI Agency,"Gaming, Esports","Twitch, YouTube Gaming, Instagram","Verschiedene Gaming Creator","Gaming Marketing, Esports Events",20000000,active,"Schweizer Agentur mit Fokus auf Gaming und Esports"
FOLLOW AUSTRIA,"Influencer Marketing","Instagram, TikTok, YouTube","Verschiedene DACH Creator","Influencer Management, Brand Deals",12000000,active,"Wiener Influencer- und Werbeagentur"
Con Evo,"Influencer Marketing","Instagram, TikTok, YouTube","Verschiedene DACH Creator","Influencer Marketing, Workshops",10000000,active,"Wiener Agentur mit DACH-weiter Ausrichtung"
Fullstop PR,"PR, Influencer Marketing","Instagram, TikTok, YouTube, Press","Verschiedene DACH Creator","PR, Influencer Marketing",8000000,active,"Wiener Agentur für PR und Influencer Marketing"
SWISSPER,"Social Media, Influencer","Instagram, TikTok, YouTube, Facebook","Verschiedene Schweizer Creator","Social Media, Influencer Marketing",15000000,active,"Schweizer Social- und Media-Agentur"
House of Influence,"Social Media, Influencer","Instagram, TikTok, YouTube","Über 3000 Schweizer Creator","Social Media Marketing, Workshops",20000000,active,"Zürcher Social Media und Influencer-Marketing-Agentur"
Headz Agency,"Influencer Management","Instagram, TikTok, YouTube","Namhafte Schweizer Creator","Influencer Management, Social Media Kampagnen",12000000,active,"Schweizer Agentur für Influencer Management"
Reachbird.io,"Influencer Marketing","Instagram, TikTok, YouTube","Verschiedene DACH Creator","Influencer Marketing, Analytics",10000000,active,"Datengetriebene Influencer-Marketing-Plattform"
ChannelBuzz,"Influencer Marketing","Instagram, TikTok, YouTube","Verschiedene DACH Creator","Influencer Marketing, Brand Deals",8000000,active,"Influencer-Marketing-Agentur"
Buzzbird,"Influencer Marketing","Instagram, TikTok, YouTube","Verschiedene DACH Creator","Influencer Marketing, Brand Deals",10000000,active,"Influencer-Marketing-Agentur"
rock&star digital,"Digital Marketing","Instagram, TikTok, YouTube, Facebook","Verschiedene DACH Creator","Digital Marketing, Brand Deals",12000000,active,"Digitale Marketing-Agentur"
influence.vision,"Influencer Marketing","Instagram, TikTok, YouTube","Verschiedene DACH Creator","Influencer Marketing, Brand Deals",8000000,active,"Influencer-Marketing-Agentur"
PURE4U,"Streaming, Vtubing","Twitch, YouTube, TikTok","Verschiedene Streamer und Vtuber","Künstler-Management, Live-Performance",10000000,active,"Künstler-Agentur für Streaming und Vtubing"
NextLevelNation,"Gaming, Streaming","Twitch, YouTube, TikTok, Kick","Verschiedene Streamer","Creator Management, Brand Deals",8000000,active,"Creator-Agentur für Streamer im DACH-Raum"
Digital Ninjas,"Gaming, Social Media","Twitch, YouTube, Instagram, TikTok","Verschiedene Gaming Creator","Gaming Marketing, Streamer-Netzwerk",12000000,active,"Agentur für Gaming und Social Media"
Next Level Creators,"Content Creation","Instagram, TikTok, YouTube","Verschiedene DACH Creator","KI-gestützte Creator-Management",5000000,active,"Neue KI-gestützte Agentur seit 2024"
NINJAPIRATEN,"Twitch Marketing","Twitch, YouTube, Instagram","Verschiedene Twitch Streamer","Twitch Marketing, Streamer-Beratung",8000000,active,"Twitch-Marketing-Agentur"
Streamboost,"Twitch Marketing","Twitch","Verschiedene Twitch Streamer","Twitch Marketing, Targeting",5000000,active,"Plattform für Twitch-Marketing"
Ad Specialist,"Twitch Marketing","Twitch, YouTube","Verschiedene Twitch Streamer","Product Placements, Video-Ads",6000000,active,"Twitch-Marketing-Agentur"
CM X Creator,"Twitch Marketing","Twitch, YouTube, Instagram","Verschiedene Twitch Streamer","Live-Streaming-Kampagnen, Community-Management",7000000,active,"Twitch-Agentur für kreative Kampagnen"
Secret.Unicorn Agency,"Influencer Marketing","Instagram, TikTok, YouTube","Verschiedene DACH Creator","Influencer Marketing, Brand Deals",9000000,active,"Influencer-Marketing-Agentur"
2Wave,"Gaming, Esports","Twitch, YouTube Gaming, Instagram, TikTok","Verschiedene Gaming Creator und Esports Teams","Gaming Marketing, Esports Events, Brand Deals",15000000,active,"Deutsche Gaming- und Esports-Agentur mit Fokus auf DACH-Raum"
NewBasement,"Gaming, Content Creation","Twitch, YouTube, Instagram, TikTok","Verschiedene Gaming Creator und Content Creator","Creator Management, Brand Deals, Content Strategy",12000000,active,"Junge Gaming-Agentur mit Fokus auf Content Creation und Creator Management" 